userId,gender,itemId,rating
1,2,16,3
1,2,11,1
1,2,8,1
1,2,15,1
1,2,19,5
1,2,20,3
1,2,12,4
1,2,4,2
1,2,13,4
1,2,1,4
1,2,3,3
1,2,9,1
2,1,1,4
2,1,10,3
2,1,13,3
2,1,16,3
2,1,11,1
2,1,12,3
2,1,3,4
2,1,6,2
2,1,5,2
2,1,8,4
2,1,9,2
3,2,3,4
3,2,7,5
3,2,9,2
3,2,8,2
3,2,13,1
3,2,16,4
3,2,18,1
3,2,4,1
3,2,19,5
3,2,5,1
3,2,17,4
4,2,20,3
4,2,8,5
4,2,16,5
4,2,11,3
4,2,13,2
4,2,7,2
4,2,9,2
4,2,10,2
4,2,5,3
4,2,12,2
4,2,6,3
4,2,1,3
4,2,17,5
4,2,18,2
5,2,15,4
5,2,5,2
5,2,16,4
5,2,3,2
5,2,6,4
5,2,12,3
5,2,18,1
5,2,9,5
5,2,1,4
5,2,2,5
5,2,17,5
5,2,10,2
5,2,14,2
5,2,19,5
5,2,20,3
6,1,12,3
6,1,19,2
6,1,17,2
6,1,3,4
6,1,9,2
6,1,16,1
6,1,7,3
6,1,2,1
6,1,13,4
6,1,1,2
7,2,10,1
7,2,4,2
7,2,15,4
7,2,1,4
7,2,17,4
7,2,13,3
7,2,19,5
7,2,16,3
7,2,6,2
7,2,2,2
7,2,8,3
7,2,18,1
7,2,20,1
7,2,9,3
7,2,11,1
8,1,4,5
8,1,11,4
8,1,2,4
8,1,6,2
8,1,3,3
8,1,14,5
8,1,17,2
8,1,1,1
8,1,18,1
8,1,8,1
9,1,13,5
9,1,7,1
9,1,18,5
9,1,14,3
9,1,15,3
9,1,10,1
9,1,6,1
9,1,20,3
9,1,9,4
9,1,11,1
9,1,16,1
9,1,12,3
10,2,19,5
10,2,13,2
10,2,14,1
10,2,10,5
10,2,18,4
10,2,3,1
10,2,12,3
10,2,16,2
10,2,11,5
10,2,4,2
10,2,1,4
10,2,5,5
10,2,9,5
11,1,4,4
11,1,10,2
11,1,14,2
11,1,2,4
11,1,19,5
11,1,11,2
11,1,13,2
11,1,12,1
11,1,3,2
11,1,1,1
11,1,16,2
11,1,6,5
11,1,9,4
11,1,7,1
11,1,5,5
11,1,20,4
12,2,6,1
12,2,10,3
12,2,9,1
12,2,2,1
12,2,4,5
12,2,17,1
12,2,8,3
12,2,5,5
12,2,13,5
12,2,14,4
12,2,18,3
12,2,1,3
13,1,11,4
13,1,14,2
13,1,8,3
13,1,4,2
13,1,20,3
13,1,6,4
13,1,18,5
13,1,12,4
13,1,2,4
13,1,13,3
13,1,1,3
13,1,15,5
14,2,6,2
14,2,1,3
14,2,14,4
14,2,20,1
14,2,19,5
14,2,10,2
14,2,18,3
14,2,11,2
14,2,12,1
14,2,7,2
14,2,2,1
15,1,2,4
15,1,16,4
15,1,7,5
15,1,12,5
15,1,5,4
15,1,10,3
15,1,9,2
15,1,1,1
15,1,3,4
15,1,6,3
15,1,18,1
16,1,17,3
16,1,15,5
16,1,3,5
16,1,19,4
16,1,9,4
16,1,12,5
16,1,18,3
17,2,3,4
17,2,14,4
17,2,20,2
17,2,7,5
17,2,17,3
17,2,12,1
17,2,4,5
17,2,19,5
17,2,1,4
18,2,1,4
18,2,4,1
18,2,11,3
18,2,16,1
18,2,2,3
18,2,3,4
18,2,7,2
18,2,17,4
18,2,9,5
18,2,10,4
18,2,8,1
18,2,5,4
18,2,13,3
19,2,8,1
19,2,1,3
19,2,17,5
19,2,9,4
19,2,5,1
19,2,19,4
19,2,6,3
19,2,3,5
19,2,10,2
19,2,2,4
19,2,13,1
20,1,6,4
20,1,9,1
20,1,11,4
20,1,13,3
20,1,2,2
20,1,17,2
20,1,8,5
20,1,10,5
20,1,16,5
20,1,14,2
20,1,12,4
20,1,3,3
20,1,5,5
20,1,18,4
21,1,15,3
22,2,20,3
23,1,19,2
24,2,12,4
25,2,4,2
26,1,3,1
27,1,17,1
28,1,9,1
29,1,8,1
30,1,6,1
31,1,8,1
32,2,17,1
33,2,17,1
33,2,3,1
34,1,15,2
34,1,2,1
35,1,14,4
35,1,20,3
36,2,3,1
36,2,9,3
